,Ссылка,Метро,Время до метро,Общая площадь,Жилая площадь,Этаж,Этажность дома,Срок сдачи,Ванная,Ремонт,Цена
157,https://www.cian.ru/rent/flat/271911273/,Октябрьское поле,10.0,47.0,20.0,3.0,18.0,,1 совмещенный,Евроремонт,56000.0
158,https://www.cian.ru/rent/flat/242020396/,Фили,15.0,40.0,36.0,15.0,25.0,2017.0,,Дизайнерский,85000.0
159,https://www.cian.ru/rent/flat/257341407/,Братиславская,8.0,38.0,,16.0,17.0,2000.0,1 совмещенный,Косметический,35000.0
160,https://www.cian.ru/rent/flat/275847542/,Бульвар Дмитрия Донского,7.0,39.0,20.0,5.0,22.0,1990.0,1 раздельный,Косметический,35000.0
161,https://www.cian.ru/rent/flat/273341084/,Фрунзенская,,75.0,,5.0,7.0,,1 совмещенный,Дизайнерский,200000.0
162,https://www.cian.ru/rent/flat/275816911/,Бунинская аллея,20.0,42.8,11.0,7.0,9.0,2021.0,1 совмещенный,Евроремонт,41900.0
163,https://www.cian.ru/rent/flat/275773824/,Рассказовка,15.0,36.7,19.0,16.0,17.0,2016.0,1 совмещенный,Евроремонт,33200.0
164,https://www.cian.ru/rent/flat/269935315/,Таганская,11.0,35.0,20.0,7.0,12.0,1965.0,1 совмещенный,Косметический,50000.0
165,https://www.cian.ru/rent/flat/262560711/,Авиамоторная,14.0,58.0,15.0,4.0,16.0,2019.0,1 совмещенный,Дизайнерский,90000.0
166,https://www.cian.ru/rent/flat/192314329/,Балтийская,11.0,45.0,17.0,10.0,17.0,2011.0,1 совмещенный,Евроремонт,43000.0
167,https://www.cian.ru/rent/flat/275802590/,Беломорская,9.0,36.0,18.0,15.0,19.0,2017.0,1 совмещенный,Косметический,34000.0
168,https://www.cian.ru/rent/flat/266209453/,Селигерская,15.0,38.0,20.0,6.0,16.0,1979.0,1 совмещенный,Косметический,33000.0
169,https://www.cian.ru/rent/flat/274949526/,Братиславская,4.0,41.0,,16.0,25.0,2001.0,1 совмещенный,Евроремонт,45000.0
170,https://www.cian.ru/rent/flat/193190283/,Савеловская,4.0,30.0,18.0,2.0,8.0,1965.0,1 совмещенный,Евроремонт,40000.0
171,https://www.cian.ru/rent/flat/189670052/,Улица Скобелевская,15.0,48.0,17.0,17.0,23.0,2016.0,1 совмещенный,Дизайнерский,42000.0
172,https://www.cian.ru/rent/flat/273777702/,Университет,13.0,42.0,,11.0,14.0,1978.0,1 раздельный,Дизайнерский,70000.0
173,https://www.cian.ru/rent/flat/273020604/,Ольховая,25.0,38.0,18.0,21.0,25.0,2016.0,1 совмещенный,Евроремонт,41000.0
174,https://www.cian.ru/rent/flat/192338082/,,,37.0,19.0,6.0,17.0,1993.0,1 совмещенный,Косметический,22000.0
175,https://www.cian.ru/rent/flat/185063315/,Нахимовский проспект,3.0,39.0,,16.0,22.0,2001.0,1 совмещенный,Евроремонт,55000.0
176,https://www.cian.ru/rent/flat/275769829/,Кузьминки,10.0,32.0,19.0,3.0,9.0,1962.0,1 совмещенный,,37000.0
177,https://www.cian.ru/rent/flat/246158625/,Озерная,16.0,43.0,20.0,3.0,17.0,2005.0,1 раздельный,Косметический,45000.0
178,https://www.cian.ru/rent/flat/275771128/,Филатов Луг,7.0,34.0,14.0,4.0,12.0,2021.0,1 совмещенный,Косметический,38000.0
179,https://www.cian.ru/rent/flat/258854440/,Бабушкинская,10.0,38.0,18.0,3.0,16.0,1982.0,1 совмещенный,Евроремонт,38000.0
180,https://www.cian.ru/rent/flat/274656257/,Кузьминки,3.0,40.0,20.0,14.0,15.0,2019.0,1 совмещенный,,55000.0
181,https://www.cian.ru/rent/flat/274198683/,Площадь Ильича,10.0,42.0,20.0,7.0,12.0,2019.0,1 совмещенный,Евроремонт,60000.0
182,https://www.cian.ru/rent/flat/275804486/,Динамо,7.0,31.0,,2.0,18.0,2018.0,1 совмещенный,Дизайнерский,105000.0
183,https://www.cian.ru/rent/flat/256361423/,Южная,3.0,32.7,19.0,7.0,9.0,1970.0,1 совмещенный,Косметический,32000.0
184,https://www.cian.ru/rent/flat/275847366/,Лефортово,4.0,37.0,20.0,7.0,14.0,1987.0,1 совмещенный,,50000.0
185,https://www.cian.ru/rent/flat/261460190/,Хорошево,5.0,35.0,,7.0,21.0,2018.0,1 совмещенный,Дизайнерский,75000.0
186,https://www.cian.ru/rent/flat/275825843/,,,33.0,18.0,1.0,9.0,1979.0,1 совмещенный,Косметический,29000.0
187,https://www.cian.ru/rent/flat/275359405/,Павелецкая,7.0,41.0,18.0,8.0,16.0,1984.0,1 совмещенный,Дизайнерский,80000.0
188,https://www.cian.ru/rent/flat/274499027/,Бульвар Дмитрия Донского,8.0,40.0,21.0,7.0,14.0,,,,40000.0
189,https://www.cian.ru/rent/flat/262291675/,Бабушкинская,3.0,34.0,21.0,4.0,14.0,1989.0,"1 совмещенный, 1 раздельный",Косметический,36000.0
190,https://www.cian.ru/rent/flat/275856217/,,,32.0,,5.0,5.0,1963.0,,Косметический,20000.0
191,https://www.cian.ru/rent/flat/272339828/,Улица Академика Янгеля,10.0,48.0,20.0,12.0,15.0,,,Евроремонт,45000.0
192,https://www.cian.ru/rent/flat/275833539/,Царицыно,5.0,33.0,19.0,6.0,9.0,1974.0,1 совмещенный,Евроремонт,30000.0
